,"Para añadir o cambiar categorías, modifica las tablas ""Ingresos"" y ""Gastos"" de la hoja ""Resumen"".",,,,,,,,
,Salidas,,"199,45 €",,,Entradas,,"580,00 €",
,,,,,,,, ,
,Fecha,Importe,Descripción,Categoría,,Fecha,Importe,Descripción,Categoría
,1/ene,"25,00 €",Bizum Cbza,BALONCESTO,,3/ene,"30,00 €",Transferencia Casa,CASA
,2/ene,"25,00 €",Bizum Perico,GIMNASIO,,5/ene,"300,00 €",Estrenas Papis,OTROS
,2/ene,"14,60 €",Clandestina,COMIDAS,,6/ene,"220,00 €",Estrenas Yaya y tío,OTROS
,4/ene,"46,10 €",Amigo invisible Lucía,OTROS,,10/ene,"30,00 €",Transferencia Casa,CASA
,6/ene,"29,80 €",Shushi,COMIDAS,,,,,
,7/ene,"7,00 €",Gimnasio,GIMNASIO,,,,,
,7/ene,"12,20 €",Comida Granada,COMIDAS,,,,,
,9/ene,"16,50 €",Pichi de Cai ,COMIDAS,,,,,
,10/sept,"23,25 €",Foster ,COMIDAS,,,,,
