,"Para añadir o cambiar categorías, modifica las tablas ""Ingresos"" y ""Gastos"" de la hoja ""Resumen"".",,,,,,,,
,Salidas,,"640,61 €",,,Entradas,,"792,00 €",
,,,,,,,,,
,Fecha,Importe,Descripción,Categoría,,Fecha,Importe,Descripción,Categoría
,1/nov,"17,50 €",Garaje Granada,OTROS,,2/nov,"8,00 €",Juanma Halloween,BIZUM ENTRANTE
,1/nov,"8,65 €",Macdonalds,COMIDAS,,2/nov,"20,00 €",Lucía y Hugo Halloween,BIZUM ENTRANTE
,1/nov,"4,69 €",Lidl,OTROS,,7/nov,"10,00 €",Joraca Halloween,BIZUM ENTRANTE
,2/nov,"25,00 €",Cbza,BIZUM SALIENTE,,8/nov,"30,00 €",Transferencia Casa,CASA
,2/nov,"25,00 €",Perico,BIZUM SALIENTE,,9/nov,"6,00 €",Chino Escuelas,BIZUM ENTRANTE
,2/nov,"30,00 €",Gasolina Halloween (Revolut),OTROS,,10/nov,"25,00 €",Cena Lucía,BIZUM ENTRANTE
,4/nov,"12,50 €",Mercadona con Davi,COMIDAS,,15/nov,"30,00 €",Transferencia Casa,CASA
,7/nov,"6,50 €",Desayuno,COMIDAS,,16/nov,"52,21 €",Bizum  CnFans JR,
,8/nov,"8,00 €",Cena kebab,BIZUM SALIENTE,,16/nov,"62,13 €",Bizum CnFans Joraca,
,8/nov,"40,90 €",Cena Lucía,COMIDAS,,20/nov,"23,00 €",Hugo gym ,BIZUM ENTRANTE
,8/nov,"16,95 €",Farmacia ,OTROS,,20/nov,"10,00 €",Hugo CnFans,
,9/nov,"10,80 €",Chino Escuelas,OTROS,,22/nov,"30,00 €",Transferencia Casa,CASA
,10/nov,"52,80 €",,UNIVERSIDAD,,24/nov,"20,00 €",Billete Yaya,OTROS
,11/nov,"6,35 €",Mercadona,COMIDAS,,24/nov,"34,00 €",Bizum Shushi 22/nov Lucía,BIZUM ENTRANTE
,14/nov,"39,00 €",,PINAR,,29/nov,"30,00 €",Trnsferencia Casa,CASA
,15/nov,"10,00 €",Casa campo ,COMIDAS,,29/nov,"320,00 €",Transferencia EVENTS,EVENTS PARTNER
,16/nov,"114,34 €",CnFans JR y Joraca a Revolut,,,30/nov,"30,00 €",Lucía Karmela,BIZUM ENTRANTE
,16/nov,"16,15 €",Muerde la Pasta ,COMIDAS,,5/12,"176,00 €",Transeferencia Escuelas,ESCUELAS
,19/nov,"47,00 €",,GIMNASIO,,,,,
,19/nov,"1,20 €",Cafetería Facultad,OTROS,,,,,
,20/nov,"15,00 €",Sustitución Maruja Mallo,BIZUM SALIENTE,,,,,
,20/nov,"10,00 €",CnFans Hugo a Revolut,,,,,,
,22/nov,"3,00 €",Almendras ,COMIDAS,,,,,
,22/nov,"67,48 €",Shushi Lucía ,COMIDAS,,,,,
,23/nov,"13,50 €",Cena Vadepizza,BIZUM SALIENTE,,,,,
,26/nov,"7,60 €",Cafetería Facultad,OTROS,,,,,
,27/nov,"10,00 €",Corte de pelo,BIZUM SALIENTE,,,,,
,27/nov,"15,70 €",Five Guys,COMIDAS,,,,,
,28/nov,"5,00 €",Entrada Unicaja U22,OTROS,,,,,
,29/nov,"5,67 €",Supeco ,OTROS,,,,,
,29/nov,"56,90 €",Karmela Lucía,COMIDAS,,,,,
,30/nov,"70,00 €",Revolut,HUCHA LUCÍA,,,,,
