,"Para añadir o cambiar categorías, modifica las tablas ""Ingresos"" y ""Gastos"" de la hoja ""Resumen"".",,,,,,,,
,Salidas,,"1.133,55 €",,,Entradas,,"738,00 €",
,,,,,,,, ,
,Fecha,Importe,Descripción,Categoría,,Fecha,Importe,Descripción,Categoría
,28/nov,"10,00 €",Cbza,BALONCESTO,,6/dic,"30,00 €",Transferencia Casa,CASA
,1/dic,"204,43 €",Navidad y cumple Lucía,OTROS,,13/dic,"30,00 €",Transferencia Casa,CASA
,2/dic,"13,50 €",Atletico-Barcelona,COMIDAS,,19/dic,"50,00 €",Extra Papá,OTROS
,3/dic,"25,00 €",Bizum Perico,GIMNASIO,,20/dic,"30,00 €",Transferencia Casa,CASA
,4/dic,"74,20 €",Coche Lucía,OTROS,,27/dic,"30,00 €",Transferencia Casa,CASA
,5/dic,"2,50 €",Chino,OTROS,,28/dic,"20,00 €",Sub 22 Unicaja ,OTROS
,6/dic,"17,00 €",Entrada Santa Rita,OTROS,,31/dic,"50,00 €",Estrenas Yaya,OTROS
,6/dic,"5,00 €",Buñuelos Plaza,COMIDAS,,31/dic,"320,00 €",Transferencia Events,EVENTS PARTNER
,6/dic,"21,70 €",Ron y Pizza,OTROS,,6/ene,"178,00 €",Transfrencia Escuelas,ESCUELAS
,6/dic,"3,58 €",Juanmanuel,OTROS,,,,,
,7/dic,"3,00 €",Guardaropa Santa Rita,OTROS,,,,,
,7/dic,"10,00 €",Copa Santa Rita,OTROS,,,,,
,8/dic,"11,50 €",Uber Santa Rita,OTROS,,,,,
,8/dic,"6,60 €",Bingo Jonás,OTROS,,,,,
,10/dic,"401,94 €",CCUSA,OTROS,,,,,
,15/dic,"52,80 €",Universidad,UNIVERSIDAD,,,,,
,15/dic,"6,00 €",Cena Mercadona,COMIDAS,,,,,
,16/dic,"39,00 €",Pinar,BALONCESTO,,,,,
,16/dic,"1,90 €",Chino,OTROS,,,,,
,16/dic,"28,00 €",Entrada Santa Rita,OTROS,,,,,
,18/dic,"22,00 €",1/4 Equipación Pinar,BALONCESTO,,,,,
,19/dic,"3,10 €",Chino,OTROS,,,,,
,19/dic,"21,00 €",Cena Peña Sub22,COMIDAS,,,,,
,20/dic,"4,00 €",Copa Santa Rita,OTROS,,,,,
,21/dic,"70,00 €",Hucha Lucía,HUCHA LUCÍA,,,,,
,22/dic,"11,30 €",,OTROS,,,,,
,22/dic,"24,00 €",Gimnasio,GIMNASIO,,,,,
,26/dic,"6,50 €",Vadepizza,COMIDAS,,,,,
,27/dic,"0,00 €",Plus (Devuelto),OTROS,,,,,
,28/12,"4,00 €", Cena casa campo,COMIDAS,,,,,
,28/dic,"20,00 €",Comida Chupytira,COMIDAS,,,,,
,30/dic,"5,00 €",Agua Carpena,OTROS,,,,,
,31/dic,"5,00 €",Legendario/4,OTROS,,,,,
